user_id,pid,preferred
11,p11,nashville
11,p19,xpro2
11,p49,willow
11,p34,lofi
11,p13,lark
11,p03,xpro2
11,p06,mayfair
11,p37,nashville
11,p23,xpro2
11,p14,inkwell
11,p21,perpetua
11,p01,brooklyn
11,p39,brannan
11,p20,valencia
11,p10,brooklyn
11,p24,lark
11,p48,kelvin
12,p20,aden
12,p47,gingham
12,p27,earlybird
12,p24,perpetua
12,p41,rise
12,p15,valencia
12,p26,org
12,p14,perpetua
12,p31,earlybird
12,p44,toaster
12,p46,kelvin
12,p21,hudson
12,p29,lark
12,p42,lofi
12,p48,aden
12,p51,mayfair
12,p17,moon
12,p03,xpro2
12,p08,earlybird
12,p13,clarendon
12,p54,rise
12,p30,willow
12,p05,inkwell
12,p01,mayfair
12,p28,brooklyn
12,p52,gingham
12,p37,kelvin
12,p12,kelvin
12,p10,rise
12,p25,lofi
12,p02,gingham
12,p43,org
12,p16,kelvin
12,p40,aden
12,p22,lark
12,p11,mayfair
12,p53,org
12,p09,clarendon
12,p39,perpetua
12,p35,slumber
12,p07,kelvin
12,p06,rise
12,p50,clarendon
12,p18,kelvin
12,p34,toaster
12,p49,moon
12,p33,slumber
12,p23,earlybird
12,p45,toaster
12,p04,clarendon
12,p36,reyes
12,p32,lofi
12,p38,moon
12,p19,xpro2
13,p53,perpetua
13,p39,earlybird
13,p13,brooklyn
13,p51,valencia
13,p01,mayfair
13,p17,rise
13,p42,org
13,p48,hudson
13,p40,org
13,p03,org
13,p23,org
13,p36,brooklyn
13,p46,org
13,p18,brooklyn
13,p14,clarendon
13,p38,gingham
13,p31,perpetua
13,p52,rise
13,p09,lark
13,p27,brannan
13,p35,stinson
13,p34,brooklyn
13,p44,lark
13,p19,lark
13,p21,org
13,p02,lark
13,p08,lark
13,p22,org
13,p43,earlybird
13,p24,clarendon
13,p10,lark
13,p29,lark
13,p26,brooklyn
13,p20,clarendon
13,p33,slumber
13,p41,lark
13,p12,hudson
13,p16,maven
13,p15,perpetua
13,p07,hudson
13,p05,valencia
13,p37,reyes
13,p47,rise
13,p32,org
13,p04,slumber
13,p25,org
13,p50,slumber
13,p28,org
13,p49,lark
13,p06,valencia
13,p45,valencia
13,p54,stinson
13,p30,earlybird
13,p11,brooklyn
14,p51,maven
14,p50,nashville
14,p22,earlybird
14,p04,kelvin
14,p31,kelvin
14,p08,kelvin
14,p44,kelvin
14,p49,earlybird
14,p27,aden
14,p47,gingham
14,p32,kelvin
14,p06,mayfair
14,p46,aden
14,p05,lofi
14,p29,mayfair
14,p52,lark
14,p21,maven
14,p53,hudson
14,p01,brannan
14,p33,aden
14,p35,rise
14,p30,mayfair
14,p26,lofi
14,p10,inkwell
14,p11,clarendon
14,p41,earlybird
14,p40,earlybird
14,p02,aden
14,p42,toaster
14,p19,xpro2
14,p45,valencia
14,p48,mayfair
14,p16,willow
14,p54,xpro2
14,p34,valencia
14,p09,xpro2
14,p13,brannan
14,p24,org
14,p28,lark
14,p03,xpro2
14,p14,perpetua
14,p37,moon
14,p17,willow
14,p43,aden
14,p20,mayfair
14,p23,slumber
14,p18,lofi
14,p12,kelvin
14,p25,reyes
14,p39,walden
14,p38,_1977
14,p15,rise
14,p36,earlybird
14,p07,earlybird
15,p36,clarendon
15,p34,earlybird
15,p16,brooklyn
15,p35,gingham
15,p05,xpro2
15,p40,lark
15,p31,valencia
15,p37,gingham
15,p03,perpetua
15,p43,_1977
15,p06,clarendon
15,p53,brooklyn
15,p33,clarendon
15,p10,lofi
15,p54,brooklyn
15,p14,clarendon
15,p12,mayfair
15,p23,perpetua
15,p41,aden
15,p30,stinson
15,p13,clarendon
15,p25,brooklyn
15,p29,kelvin
15,p26,walden
15,p04,lofi
15,p27,mayfair
15,p42,rise
15,p11,earlybird
15,p32,gingham
15,p50,lark
15,p08,perpetua
15,p51,earlybird
15,p49,moon
15,p17,earlybird
15,p39,clarendon
15,p44,lofi
15,p19,lofi
15,p45,gingham
15,p47,toaster
15,p07,clarendon
15,p01,perpetua
15,p21,walden
15,p28,clarendon
15,p52,brooklyn
15,p22,lark
15,p09,lark
15,p20,clarendon
15,p46,mayfair
15,p48,reyes
15,p24,perpetua
15,p18,brooklyn
15,p38,toaster
15,p15,kelvin
15,p02,earlybird
16,p05,inkwell
16,p20,brannan
16,p43,org
16,p49,brooklyn
16,p22,clarendon
16,p46,mayfair
16,p41,mayfair
16,p19,xpro2
16,p37,kelvin
16,p33,brannan
16,p13,perpetua
16,p18,mayfair
16,p01,valencia
16,p08,clarendon
16,p47,gingham
16,p15,nashville
16,p03,org
16,p29,clarendon
16,p11,lofi
16,p02,brooklyn
16,p44,org
16,p38,org
16,p31,xpro2
16,p30,hudson
16,p40,slumber
16,p04,mayfair
16,p17,kelvin
16,p50,lofi
16,p21,rise
