user_id,pid,preferred
19,p48,clarendon
19,p14,org
19,p16,lark
19,p36,clarendon
19,p02,mayfair
19,p44,mayfair
19,p07,clarendon
19,p45,stinson
19,p12,clarendon
19,p20,clarendon
19,p04,lofi
19,p26,lofi
19,p35,clarendon
19,p11,mayfair
19,p40,org
19,p27,xpro2
19,p13,lofi
19,p34,clarendon
19,p54,clarendon
19,p21,clarendon
19,p30,perpetua
19,p31,clarendon
19,p25,kelvin
19,p06,gingham
19,p52,kelvin
19,p05,clarendon
19,p24,clarendon
19,p50,walden
19,p47,lofi
19,p18,lofi
19,p49,_1977
19,p10,brooklyn
19,p22,mayfair
19,p03,mayfair
19,p33,aden
19,p38,xpro2
19,p39,hudson
19,p32,clarendon
19,p37,clarendon
19,p41,xpro2
19,p08,xpro2
19,p46,mayfair
19,p23,brannan
19,p28,nashville
20,p22,mayfair
20,p24,mayfair
20,p44,lofi
20,p41,nashville
20,p04,perpetua
20,p47,clarendon
20,p48,org
20,p30,clarendon
20,p51,mayfair
20,p25,org
20,p11,org
20,p32,lofi
20,p26,hudson
20,p07,earlybird
20,p03,mayfair
20,p49,clarendon
20,p33,brooklyn
20,p15,mayfair
20,p05,earlybird
20,p01,valencia
20,p40,clarendon
20,p29,org
20,p31,clarendon
20,p34,slumber
20,p36,mayfair
20,p13,maven
20,p23,lofi
20,p39,xpro2
20,p35,aden
20,p16,perpetua
20,p14,xpro2
20,p50,xpro2
20,p21,aden
20,p53,mayfair
20,p28,inkwell
20,p46,gingham
20,p43,mayfair
20,p18,lofi
20,p54,slumber
20,p19,clarendon
20,p42,aden
20,p08,mayfair
20,p09,clarendon
20,p38,slumber
20,p10,mayfair
20,p02,mayfair
20,p20,lofi
20,p17,nashville
20,p06,reyes
20,p37,valencia
20,p27,maven
20,p45,brooklyn
20,p52,valencia
20,p12,valencia
21,p39,perpetua
21,p22,mayfair
21,p51,lark
21,p48,aden
21,p35,slumber
21,p28,stinson
21,p23,lark
21,p41,lark
21,p44,slumber
21,p49,moon
21,p30,org
21,p20,clarendon
21,p43,lofi
21,p02,mayfair
21,p14,org
21,p26,perpetua
21,p42,org
21,p18,org
21,p53,clarendon
21,p45,lofi
21,p01,lofi
21,p50,perpetua
21,p52,stinson
21,p34,slumber
21,p33,reyes
21,p32,aden
21,p03,reyes
21,p27,gingham
21,p07,org
21,p10,org
21,p19,rise
21,p16,reyes
21,p17,slumber
21,p13,org
21,p25,valencia
21,p21,lark
21,p47,org
21,p09,lofi
21,p36,rise
21,p40,mayfair
21,p12,clarendon
21,p31,org
21,p29,org
21,p37,gingham
21,p04,org
21,p08,clarendon
21,p54,org
21,p11,perpetua
21,p15,mayfair
21,p06,gingham
21,p46,gingham
21,p05,stinson
21,p24,org
21,p38,gingham
